Year,wind thousand megawatthours,coal thousand megawatthours,petroleum liquids thousand megawatthours,petroleum coke thousand megawatthours,natural gas thousand megawatthours,other gases thousand megawatthours,nuclear thousand megawatthours,conventional hydroelectric thousand megawatthours,all utility-scale solar thousand megawatthours,geothermal thousand megawatthours,wood and wood-derived fuels thousand megawatthours,other biomass thousand megawatthours,hydro-electric pumped storage thousand megawatthours,other thousand megawatthours,small-scale solar photovoltaic thousand megawatthours
2023,425235.4024,675263.6246,11593.6265,4878.0313,1802062.498,11450.81255,775347.151,239854.6187,164501.5747,16461.76454,31438.92214,16024.91956,-5896.536,9954.76608,73618.8803
2022,434297.3582,831511.6121,15805.3843,7125.85731,1687066.716,11722.29001,771537.1765,254788.6671,143796.9043,16086.929,35463.56744,16383.40823,-6027.858,11114.22024,61282.24775
2021,378196.7748,897998.7599,11662.56214,7510.6479,1579189.987,11397.23724,779644.595,251584.8424,115258.2483,15975.127,36462.67263,17789.55298,-5111.684,12140.06612,49164.20156
2020,337938.049,773392.8971,9661.69285,7679.32228,1626789.64,11818.47797,789878.863,285273.8948,89198.71512,15889.697,36218.94295,18492.67346,-5321.205,12855.18509,41522.37953
2019,295882.4835,964956.8115,11522.05169,6818.69098,1588532.839,12591.09423,809409.262,287873.7305,71936.82224,15472.717,38543.38211,18963.57113,-5260.744,13331.16707,34957.44723
2018,272667.4537,1149487.339,16244.94455,8980.68307,1471843.031,13462.74897,807084.477,292523.9888,63825.31453,15967.134,40936.15892,20895.76466,-5904.539,12973.20368,29539.27456
2017,254302.6952,1205835.276,12414.10586,8975.83936,1297702.528,12468.96671,804949.635,300332.9297,53286.86507,15926.77423,41123.51844,21609.89367,-6494.548,13008.41556,23990.28244
2016,226992.5621,1239148.654,13008.25433,11196.55164,1379270.922,12807.43171,805693.948,267812.1531,36054.12115,15825.807,40947.22715,21813.23087,-6686.127,13689.06421,18812.37062
2015,190718.5477,1352398.197,17371.51255,10877.2361,1334668.003,13116.69822,797177.877,249080.0848,24892.9036,15917.575,41928.50555,21703.37187,-5091.488,13954.74834,14139.26728
2014,181655.2818,1581710.35,18276.38179,11955.47974,1126635.116,12021.78604,797165.982,259366.6219,17691.03119,15876.941,42339.72522,21649.71877,-6173.548,13393.27435,11232.6587
2013,167839.7454,1581114.716,13820.02991,13344.41382,1124835.56,12852.93714,789016.473,268565.3827,9035.62038,15774.67408,40027.53696,20830.48954,-4681.033,13587.52181,
2012,140821.7147,1514042.945,13402.5287,9787.01267,1225894.175,11897.58508,769331.249,276240.2193,4326.67524,15562.42563,37799.12909,19823.03664,-4950.496,13787.06671,
2011,120176.5986,1733430.005,16086.3912,14095.85387,1013688.929,11566.20033,790204.367,319354.9035,1817.69565,15316.068,37449.06678,19221.76318,-6420.516,14153.59945,
2010,94652.24608,1847290.279,23336.52368,13724.48958,987697.2337,11312.7869,806968.3006,260203.0694,1212.18158,15219.21312,37172.15964,18917.20666,-5501.132,12855.34156,
2009,73886.13171,1755904.253,25972.08135,12964.43326,920978.6805,10632.10655,798854.585,273445.0942,891.17939,15008.658,36050.13828,18442.59593,-4627.345,11928.33439,
2008,55363.10007,1985801.247,31917.43351,14325.17847,882980.5991,11706.87588,806208.435,254831.3851,864.31479,14839.97656,37299.85305,17733.75861,-6288.062,11803.6648,
2007,34449.9274,2016455.584,49504.51788,16234.45997,896589.7911,13453.35397,806424.753,247509.9743,611.793,14637.21299,39014.02402,16524.55396,-6896.352,12231.13073,
2006,26589.13699,1990511.135,44460.17816,19706.23582,816440.7696,14176.80788,787218.636,289246.4157,507.706,14568.029,38762.09606,16098.52459,-6557.842,12974.39912,
2005,17810.54902,2012873.046,99839.60623,22385.41067,760960.2544,13464.14351,781986.365,270321.2549,550.29434,14691.7452,38856.41665,15420.39302,-6557.788,12821.0589,
2004,14143.74074,1978300.549,100390.8554,20754.20126,710100.0165,15252.43067,788528.387,268417.3084,575.155,14810.97454,38116.88338,15420.56971,-8488.21,14232.40149,
2003,11187.467,1973736.75,102733.922,16671.718,649907.541,15600.02,763732.695,275806.328,534.00137,14424.231,37529.097,15811.99236,-8535.065,14044.50664,
2002,10354.279,1933130.354,78700.558,15866.837,691005.745,11462.686,780064.087,264328.833,554.831,14491.31,38665.04,15043.71241,-8742.928,13526.90959,
2001,6737.332,1903955.943,114647.018,10233.204,639129.12,9039.473,768826.308,216961.044,542.755,13740.501,35199.905,14548.15298,-8823.445,11906.34202,
